id,left_employee_flag,age_years,tenure_below_1yr_flag,manager_flag,climate,climate_change,question 21,question 23
412,Staying employees,58,0,0,95.2,12.0,50.0,100.0
413,Staying employees,45,0,0,100.0,,,
414,Leaving employees,33,0,0,10.0,,,
415,Staying employees,38,0,1,100.0,0.0,,100.0
416,Staying employees,57,0,0,87.0,-13.5,100.0,86.0
417,Leaving employees,36,0,0,64.8,,26.0,71.0
418,Staying employees,41,1,0,20.0,0.0,0.0,75.0
419,Staying employees,30,0,0,44.8,2.5,0.0,100.0
420,Staying employees,38,0,0,52.0,,,100.0
421,Staying employees,32,0,0,80.0,,75.0,
422,Staying employees,49,0,0,26.0,,,92.0
423,Staying employees,27,1,0,49.3,10.0,30.0,40.0
424,Staying employees,47,0,0,98.7,,97.0,100.0
425,Leaving employees,21,1,0,92.5,,0.0,100.0
426,Staying employees,40,0,0,72.6,-58.0,,
427,Staying employees,33,0,0,99.3,0.0,,100.0
428,Staying employees,51,0,0,99.5,-1.5,98.5,100.0
429,Staying employees,40,0,0,100.0,,,
430,Staying employees,37,0,0,40.3,81.3,26.0,52.0
431,Staying employees,42,0,0,94.7,3.7,79.0,100.0
432,Staying employees,36,0,0,99.4,1.3,100.0,100.0
433,Leaving employees,24,0,0,99.5,-1.5,56.5,88.5
434,Staying employees,51,0,0,69.0,-11.7,45.0,74.5
435,Staying employees,49,0,0,87.7,37.0,100.0,
436,Leaving employees,27,0,0,95.6,14.7,100.0,100.0
437,Staying employees,27,0,0,99.6,1.0,100.0,100.0
438,Staying employees,46,0,0,77.7,-2.0,60.5,91.0
439,Staying employees,35,0,0,97.2,0.0,100.0,100.0
440,Staying employees,27,1,0,41.2,-47.7,59.0,100.0
441,Staying employees,37,0,0,82.9,8.3,100.0,100.0
442,Leaving employees,27,0,0,0.0,,,
443,Staying employees,39,0,0,77.9,-3.3,40.0,76.0
444,Staying employees,52,0,0,100.0,0.0,100.0,100.0
445,Staying employees,40,0,0,95.8,9.0,90.0,100.0
446,Staying employees,56,0,0,97.5,,,95.5
447,Staying employees,52,1,0,100.0,,,100.0
448,Staying employees,42,0,0,79.4,15.0,69.0,100.0
449,Leaving employees,27,0,0,90.0,,90.0,
450,Staying employees,49,0,0,86.0,-22.7,,100.0
451,Staying employees,30,0,0,100.0,,,80.0
452,Staying employees,26,1,0,67.6,-6.5,89.0,100.0
453,Staying employees,47,0,0,100.0,,,
454,Leaving employees,24,1,0,92.5,,100.0,
455,Staying employees,53,0,0,36.9,-9.7,48.0,90.0
456,Staying employees,47,0,0,68.8,-56.0,,100.0
457,Staying employees,61,1,0,100.0,0.0,,
458,Staying employees,23,1,0,90.0,,,
459,Staying employees,32,0,0,91.3,0.0,,75.0
460,Staying employees,37,0,0,100.0,0.0,79.0,100.0
461,Staying employees,32,0,0,35.7,,,
462,Staying employees,65,0,0,95.1,2.7,73.0,100.0
463,Staying employees,44,0,0,33.6,11.7,20.0,70.0
464,Staying employees,39,0,0,45.7,,13.0,100.0
465,Staying employees,26,0,0,0.0,,0.0,
466,Staying employees,41,0,0,65.7,3.0,71.0,100.0
467,Staying employees,33,0,0,100.0,0.0,95.0,100.0
468,Staying employees,62,0,1,98.1,0.0,100.0,100.0
469,Staying employees,35,0,0,71.7,32.0,43.0,100.0
470,Staying employees,41,1,0,70.0,,,65.0
471,Staying employees,41,1,1,78.0,-14.0,,
472,Staying employees,41,0,0,75.0,,,
473,Staying employees,56,0,0,85.9,3.0,100.0,100.0
